id,Lst_1,Z-score,p-value,Lst_1_2,NDVISAMPLE,NDBISAMPLE
145595,61.716186523437507,0.2989247702,0.7649974469,61.716186523437507,0.080870240926743,0.006700573023409
145594,61.204071044921875,0.0282451342,0.9774666397,61.204071044921875,0.201340362429619,0.041042529046535
145597,62.221191406250000,0.3706918000,0.7108670985,62.221191406250000,0.231072247028351,0.061332609504461
145596,62.480346679687507,0.3518880652,0.7249222101,62.480346679687507,0.113763384521008,-0.035141974687576
145599,62.719207763671875,0.4661498185,0.6411082658,62.719207763671875,0.103938475251198,-0.035037685185671
145598,61.488586425781250,0.3017560660,0.7628380247,61.488586425781250,0.233988866209984,0.061305250972509
145585,58.835357666015625,-0.4742145932,0.6353468879,58.835357666015625,0.036372326314449,0.068835221230984
145587,58.829833984375000,-0.3720770552,0.7098354792,58.829833984375000,0.059713169932365,0.081023566424847
145586,58.892791748046875,-0.5571751161,0.5774077895,58.892791748046875,0.034192584455013,0.071456164121628
145589,60.275939941406250,-0.0906263325,0.9277895077,60.275939941406250,0.264479070901871,0.164683207869530
145588,60.095886230468750,-0.2936344918,0.7690372164,60.095886230468750,0.142683774232864,0.112767599523067
145591,60.704986572265625,-0.1924874592,0.8473603904,60.704986572265625,0.275097876787186,0.138511449098587
145590,60.204315185546875,-0.0284714494,0.9772861389,60.204315185546875,0.234544008970261,0.113861776888371
145545,61.890777587890625,0.4181538209,0.6758346566,61.890777587890625,0.148272186517715,0.014253059402108
145544,61.870758056640625,0.3029019319,0.7619645990,61.870758056640625,0.172306209802628,-0.013098084367812
145547,62.290100097656250,0.5531556235,0.5801568510,62.290100097656250,0.123301543295383,0.006427221000195
145546,62.322723388671875,0.4687012491,0.6392831940,62.322723388671875,0.111434757709503,-0.021655520424247
145549,62.941436767578125,0.7082335335,0.4788002451,62.941436767578125,0.138451382517815,0.026773761957884
145548,62.438690185546875,0.6424153204,0.5206035549,62.438690185546875,0.107148863375187,-0.010299977846444
145551,63.037109375000000,0.8159685425,0.4145181278,63.037109375000000,0.092523097991943,-0.022138755768538
145550,63.125488281250000,0.7903807368,0.4293054486,63.125488281250000,0.085707329213619,-0.032125025987625
145537,58.814971923828125,-0.9038704881,0.3660640796,58.814971923828125,0.349805563688278,0.158040806651115
145536,58.360260009765625,-0.9506461968,0.3417840091,58.360260009765625,0.389823675155640,0.219980508089066
145539,59.046447753906250,-0.6615324201,0.5082709306,59.046447753906250,0.360965102910995,0.191280454397202
145538,58.994659423828125,-0.7826807333,0.4338146190,58.994659423828125,0.347125262022018,0.191979303956032
145541,59.488128662109375,-0.5389086232,0.5899499068,59.488128662109375,0.222130328416824,0.085779361426830
