id,Lst_1,NDBISAMPLE,NDVISAMPLE
145595,61.716186523437507,0.006700573023409,0.080870240926743
145594,61.204071044921875,0.041042529046535,0.201340362429619
145597,62.221191406250000,0.061332609504461,0.231072247028351
145596,62.480346679687507,-0.035141974687576,0.113763384521008
145599,62.719207763671875,-0.035037685185671,0.103938475251198
145598,61.488586425781250,0.061305250972509,0.233988866209984
145585,58.835357666015625,0.068835221230984,0.036372326314449
145587,58.829833984375000,0.081023566424847,0.059713169932365
145586,58.892791748046875,0.071456164121628,0.034192584455013
145589,60.275939941406250,0.164683207869530,0.264479070901871
145588,60.095886230468750,0.112767599523067,0.142683774232864
145591,60.704986572265625,0.138511449098587,0.275097876787186
145590,60.204315185546875,0.113861776888371,0.234544008970261
145545,61.890777587890625,0.014253059402108,0.148272186517715
145544,61.870758056640625,-0.013098084367812,0.172306209802628
145547,62.290100097656250,0.006427221000195,0.123301543295383
145546,62.322723388671875,-0.021655520424247,0.111434757709503
145549,62.941436767578125,0.026773761957884,0.138451382517815
145548,62.438690185546875,-0.010299977846444,0.107148863375187
145551,63.037109375000000,-0.022138755768538,0.092523097991943
145550,63.125488281250000,-0.032125025987625,0.085707329213619
145537,58.814971923828125,0.158040806651115,0.349805563688278
145536,58.360260009765625,0.219980508089066,0.389823675155640
145539,59.046447753906250,0.191280454397202,0.360965102910995
145538,58.994659423828125,0.191979303956032,0.347125262022018
145541,59.488128662109375,0.085779361426830,0.222130328416824
145540,59.089019775390625,0.178622797131538,0.341710865497589
145543,61.404754638671875,-0.029178470373154,0.135097086429596
145542,59.987396240234375,0.152212217450142,0.316095232963562
145561,62.224822998046875,0.037320196628571,0.136479422450066
145560,62.232086181640625,-0.006040163338184,0.098673373460770
145563,62.570861816406250,0.015424264594913,0.122604042291641
145562,62.666748046875000,-0.027979198843241,0.092173486948013
145565,61.205902099609375,0.094097778201103,0.224919438362122
145564,61.388336181640625,0.030997676774859,0.158076360821724
145567,61.306274414062493,0.096608757972717,0.234466329216957
145566,61.289855957031250,0.055283203721046,0.190301999449730
145553,62.804168701171875,-0.013259163126349,0.101058632135391
145552,62.822235107421875,0.004164047539234,0.118099905550480
145555,62.411529541015625,-0.017729649320245,0.095056742429733
145554,62.395202636718750,-0.008073723874986,0.108599551022053
145557,62.108703613281250,0.028306825086474,0.103391662240028
145556,62.226654052734375,0.021484008058906,0.090021602809429
145559,62.190368652343750,-0.006087867077440,0.110042877495289
145558,62.217559814453125,-0.007225151173770,0.089630931615829
145641,61.359161376953125,0.136505395174026,0.311994284391403
145640,62.420562744140625,-0.027255155146122,0.114704467356205
145643,61.597869873046875,0.026804512366652,0.194341897964478
145642,61.207733154296875,0.090807251632214,0.251691937446594
145645,60.851409912109375,0.092285819351673,0.245581313967705
145644,61.661590576171875,0.123690456151962,0.294870942831039
145647,60.909942626953125,0.034046035259962,0.168952345848083
145646,60.897125244140625,0.053092893213034,0.198920339345932
145633,60.829467773437507,0.139229506254196,0.300517410039902
145632,61.393829345703125,0.033248081803322,0.207728758454323
145635,61.116455078125000,0.018940472975373,0.168640255928040
145634,60.591430664062493,0.236825361847878,0.352143049240112
145637,60.807495117187507,0.049535602331161,0.197483167052269
145636,60.717803955078125,0.119315892457962,0.267535030841827
145639,62.340881347656250,0.009958769194782,0.166575074195862
145638,60.959320068359375,0.109414920210838,0.260449916124344
145657,60.037048339843750,0.104242786765099,0.197412580251694
145656,61.792572021484375,0.103378593921661,0.282066345214844
145659,60.415405273437507,0.099063642323017,0.238189876079559
145658,59.301635742187507,0.080734811723232,0.073805399239063
145661,61.421173095703125,0.034551128745079,0.171461835503578
